award_year,category,laureate_id
1951,Chemistry,212
1951,Chemistry,213
1951,Literature,622
1951,Peace,512
1951,Physics,56
1951,Physics,57
1951,Physiology or Medicine,352
1952,Chemistry,214
1952,Chemistry,215
1952,Literature,623
1952,Peace,513
1952,Physics,58
1952,Physics,59
1952,Physiology or Medicine,353
1953,Chemistry,216
1953,Literature,624
1953,Peace,514
1953,Physics,60
1953,Physiology or Medicine,354
1953,Physiology or Medicine,355
1954,Chemistry,217
1954,Literature,625
1954,Peace,515
1954,Physics,61
1954,Physics,62
1954,Physiology or Medicine,356
1954,Physiology or Medicine,357
1954,Physiology or Medicine,358
1955,Chemistry,218
1955,Literature,626
1955,Physics,63
1955,Physics,64
1955,Physiology or Medicine,359
1956,Chemistry,219
1956,Chemistry,220
1956,Literature,627
1956,Physics,65
1956,Physics,66
1956,Physics,67
1956,Physiology or Medicine,360
1956,Physiology or Medicine,361
1956,Physiology or Medicine,362
1957,Chemistry,221
1957,Literature,628
1957,Peace,516
1957,Physics,68
1957,Physics,69
1957,Physiology or Medicine,363
1958,Chemistry,222
1958,Literature,629
1958,Peace,517
1958,Physics,70
1958,Physics,721
1958,Physics,71
1958,Physiology or Medicine,364
1958,Physiology or Medicine,365
1958,Physiology or Medicine,366
1959,Chemistry,223
1959,Literature,630
1959,Peace,518
1959,Physics,72
1959,Physics,73
1959,Physiology or Medicine,367
1959,Physiology or Medicine,368
1960,Chemistry,224
1960,Literature,631
1960,Peace,519
1960,Physics,74
1960,Physiology or Medicine,369
1960,Physiology or Medicine,370
1961,Chemistry,225
1961,Literature,633
1961,Peace,520
1961,Physics,75
1961,Physics,76
1961,Physiology or Medicine,371
1962,Chemistry,226
1962,Chemistry,227
1962,Literature,634
1962,Peace,217
1962,Physics,77
1962,Physiology or Medicine,372
1962,Physiology or Medicine,373
1962,Physiology or Medicine,374
1963,Chemistry,228
1963,Chemistry,229
1963,Literature,635
1963,Peace,482
1963,Peace,523
1963,Physics,78
1963,Physics,79
1963,Physics,80
1963,Physiology or Medicine,375
1963,Physiology or Medicine,376
1963,Physiology or Medicine,377
1964,Chemistry,230
1964,Literature,637
1964,Peace,524
1964,Physics,81
1964,Physics,82
1964,Physics,83
1964,Physiology or Medicine,378
1964,Physiology or Medicine,379
1965,Chemistry,231
1965,Literature,638
1965,Peace,525
1965,Physics,84
1965,Physics,85
1965,Physics,86
1965,Physiology or Medicine,380
1965,Physiology or Medicine,381
1965,Physiology or Medicine,382
1966,Chemistry,232
1966,Literature,639
1966,Literature,640
1966,Physics,87
1966,Physiology or Medicine,383
1966,Physiology or Medicine,384
1967,Chemistry,233
1967,Chemistry,234
1967,Chemistry,235
1967,Literature,641
1967,Physics,88
1967,Physiology or Medicine,385
1967,Physiology or Medicine,386
1967,Physiology or Medicine,387
1968,Chemistry,236
1968,Literature,642
1968,Peace,526
1968,Physics,89
1968,Physiology or Medicine,388
1968,Physiology or Medicine,389
1968,Physiology or Medicine,390
1969,Chemistry,237
1969,Chemistry,238
1969,Economic Sciences,677
1969,Economic Sciences,678
1969,Literature,643
1969,Peace,527
1969,Physics,90
1969,Physiology or Medicine,391
1969,Physiology or Medicine,392
1969,Physiology or Medicine,393
1970,Chemistry,239
1970,Economic Sciences,679
1970,Literature,644
1970,Peace,528
1970,Physics,91
1970,Physics,92
1970,Physiology or Medicine,394
1970,Physiology or Medicine,395
1970,Physiology or Medicine,396
1971,Chemistry,240
1971,Economic Sciences,680
1971,Literature,645
1971,Peace,529
1971,Physics,93
1971,Physiology or Medicine,397
1972,Chemistry,241
1972,Chemistry,242
1972,Chemistry,243
1972,Economic Sciences,681
1972,Economic Sciences,682
1972,Literature,647
1972,Physics,66
1972,Physics,95
1972,Physics,96
1972,Physiology or Medicine,398
1972,Physiology or Medicine,399
1973,Chemistry,244
1973,Chemistry,245
1973,Economic Sciences,683
1973,Literature,648
1973,Peace,530
1973,Peace,531
1973,Physics,97
1973,Physics,98
1973,Physics,99
1973,Physiology or Medicine,400
1973,Physiology or Medicine,401
1973,Physiology or Medicine,402
1974,Chemistry,246
1974,Economic Sciences,684
1974,Economic Sciences,685
1974,Literature,649
1974,Literature,650
1974,Peace,532
1974,Peace,533
1974,Physics,100
1974,Physics,101
1974,Physiology or Medicine,403
1974,Physiology or Medicine,404
1974,Physiology or Medicine,405
1975,Chemistry,247
1975,Chemistry,248
1975,Economic Sciences,686
1975,Economic Sciences,687
1975,Literature,651
1975,Peace,534
1975,Physics,102
1975,Physics,103
1975,Physics,104
1975,Physiology or Medicine,406
1975,Physiology or Medicine,407
1975,Physiology or Medicine,408
